date,url,title
05/20/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=80859d91a4,Pycoders Weekly (Issue #217):  I/O
05/13/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b59d16a393,Pycoders Weekly (Issue #216): Thunder
05/06/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=c97491e1a8,Pycoders Weekly (Issue #215): More Bots.
04/29/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=5d0dad4d24,Pycoders Weekly (Issue #214): VIEWS
04/22/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=fc056b44db,Pycoders Weekly (Issue #213): Socks and Sandals
04/16/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8867c46279,Pycoders Weekly (Issue #212): Late
04/08/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=12530992af,Pycoders Weekly (Issue #211): Python 3
04/01/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=3832782ac4,Pycoders Weekly (Issue #210): right-pad
03/25/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=9d01609c22,Pycoders Weekly (Issue #209): left-pad
03/18/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=3384ab2140,Pycoders Weekly (Issue #208): Tesla
03/11/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=2b6ec675d3,Pycoders Weekly (Issue #207):  Cruise
03/04/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=14e265baf0,Pycoders Weekly (Issue #206): Curry
02/26/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=aaa70e6cd8,Pycoders Weekly (Issue #205): Hello
02/19/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b2831f4813,Pycoders Weekly (Issue #204): Whack-a-mole
02/12/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b840145b68,Pycoders Weekly (Issue #203): Heart
02/05/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=53e077220d,Pycoders Weekly (Issue #202):  Lean on
01/29/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=29180abb3b,Pycoders Weekly (Issue #201): Winterlude
01/22/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=12da694704,Pycoders Weekly (Issue #200): Two Hundred
01/15/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=42228c78eb,Pycoders Weekly (Issue #199): Almost There!
01/08/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=22fde1c28d,Pycoders Weekly - Top Articles and Projects of 2015
